region,size(GB),VPU,max_iops,max_throughput(MBps),price($/h),daily_price,weekly_price,monthly_price(730h)
ap-southeast-1,200,20,15000,117,0.1249,3.0,20.99,91.2
ap-southeast-1,200,120,45000,351,0.3864,9.27,64.91,282.05
ap-southeast-1,1000,0,2000,234,0.1387,3.33,23.3,101.23
ap-southeast-1,1000,10,50000,468,0.5404,12.97,90.78,394.46
ap-southeast-1,1000,20,50000,585,0.5481,13.15,92.07,400.08
ap-southeast-1,1000,120,50000,680,0.5543,13.3,93.12,404.64
ap-southeast-2,30,0,60,7,0.0039,0.09,0.66,2.88
ap-southeast-2,30,10,1800,14,0.0039,0.09,0.66,2.88
ap-southeast-2,30,20,2250,17,0.0039,0.09,0.66,2.88
ap-southeast-2,30,120,6750,52,0.0348,0.83,5.84,25.38
ap-southeast-2,200,0,400,46,0.0263,0.63,4.42,19.2
ap-southeast-2,200,10,12000,93,0.1003,2.41,16.85,73.2
ap-southeast-2,200,20,15000,117,0.1249,3.0,20.99,91.2
ap-southeast-2,200,120,45000,351,0.3864,9.27,64.91,282.05
ap-southeast-2,1000,0,2000,234,0.1387,3.33,23.3,101.23
ap-southeast-2,1000,10,50000,468,0.5404,12.97,90.78,394.46
ap-southeast-2,1000,20,50000,585,0.5481,13.15,92.07,400.08
ap-southeast-2,1000,120,50000,680,0.5543,13.3,93.12,404.64
ap-southeast-3,30,0,60,7,0.0039,0.09,0.66,2.88
ap-southeast-3,30,10,1800,14,0.0039,0.09,0.66,2.88
ap-southeast-3,30,20,2250,17,0.0039,0.09,0.66,2.88
ap-southeast-3,30,120,6750,52,0.0348,0.83,5.84,25.38
ap-southeast-3,200,0,400,46,0.0263,0.63,4.42,19.2
ap-southeast-3,200,10,12000,93,0.1003,2.41,16.85,73.2
ap-southeast-3,200,20,15000,117,0.1249,3.0,20.99,91.2
ap-southeast-3,200,120,45000,351,0.3864,9.27,64.91,282.05
ap-southeast-3,1000,0,2000,234,0.1387,3.33,23.3,101.23
ap-southeast-3,1000,10,50000,468,0.5404,12.97,90.78,394.46
ap-southeast-3,1000,20,50000,585,0.5481,13.15,92.07,400.08
ap-southeast-3,1000,120,50000,680,0.5543,13.3,93.12,404.64
ap-southeast-4,30,0,60,7,0.0039,0.09,0.66,2.88
ap-southeast-4,30,10,1800,14,0.0039,0.09,0.66,2.88
ap-southeast-4,30,20,2250,17,0.0039,0.09,0.66,2.88
ap-southeast-4,30,120,6750,52,0.0348,0.83,5.84,25.38
ap-southeast-4,200,0,400,46,0.0263,0.63,4.42,19.2
ap-southeast-4,200,10,12000,93,0.1003,2.41,16.85,73.2
ap-southeast-4,200,20,15000,117,0.1249,3.0,20.99,91.2
ap-southeast-4,200,120,45000,351,0.3864,9.27,64.91,282.05
ap-southeast-4,1000,0,2000,234,0.1387,3.33,23.3,101.23
ap-southeast-4,1000,10,50000,468,0.5404,12.97,90.78,394.46
ap-southeast-4,1000,20,50000,585,0.5481,13.15,92.07,400.08
ap-southeast-4,1000,120,50000,680,0.5543,13.3,93.12,404.64
ca-central-1,30,0,60,7,0.0036,0.09,0.61,2.64
ca-central-1,30,10,1800,14,0.0036,0.09,0.61,2.64
ca-central-1,30,20,2250,17,0.0036,0.09,0.61,2.64
ca-central-1,30,120,6750,52,0.0319,0.76,5.35,23.27
ca-central-1,200,0,400,46,0.0241,0.58,4.05,17.6
ca-central-1,200,10,12000,93,0.0919,2.21,15.44,67.1
ca-central-1,200,20,15000,117,0.1145,2.75,19.24,83.6
ca-central-1,200,120,45000,351,0.3542,8.5,59.5,258.54
ca-central-1,1000,0,2000,234,0.1271,3.05,21.36,92.8
ca-central-1,1000,10,50000,468,0.4953,11.89,83.22,361.59
ca-central-1,1000,20,50000,585,0.5024,12.06,84.4,366.74
ca-central-1,1000,120,50000,680,0.5081,12.19,85.36,370.92
ca-west-1,30,0,60,7,0.0036,0.09,0.61,2.64
ca-west-1,30,10,1800,14,0.0036,0.09,0.61,2.64
ca-west-1,30,20,2250,17,0.0036,0.09,0.61,2.64
ca-west-1,30,120,6750,52,0.0319,0.76,5.35,23.27
ca-west-1,200,0,400,46,0.0241,0.58,4.05,17.6
ca-west-1,200,10,12000,93,0.0919,2.21,15.44,67.1
ca-west-1,200,20,15000,117,0.1145,2.75,19.24,83.6
ca-west-1,200,120,45000,351,0.3542,8.5,59.5,258.54
ca-west-1,1000,0,2000,234,0.1271,3.05,21.36,92.8
ca-west-1,1000,10,50000,468,0.4953,11.89,83.22,361.59
ca-west-1,1000,20,50000,585,0.5024,12.06,84.4,366.74
ca-west-1,1000,120,50000,680,0.5081,12.19,85.36,370.92
eu-central-2,30,0,60,7,0.0047,0.11,0.79,3.43
eu-central-2,30,10,1800,14,0.0047,0.11,0.79,3.43
eu-central-2,30,20,2250,17,0.0047,0.11,0.79,3.43
eu-central-2,30,120,6750,52,0.0407,0.98,6.83,29.68
eu-central-2,200,0,400,46,0.0313,0.75,5.26,22.84
eu-central-2,200,10,12000,93,0.1176,2.82,19.75,85.84
eu-central-2,200,20,15000,117,0.1464,3.51,24.59,106.84
eu-central-2,200,120,45000,351,0.4517,10.84,75.89,329.75
eu-central-2,1000,0,2000,234,0.165,3.96,27.71,120.43
eu-central-2,1000,10,50000,468,0.634,15.22,106.51,462.79
eu-central-2,1000,20,50000,585,0.6431,15.43,108.04,469.48
eu-central-2,1000,120,50000,680,0.6506,15.61,109.29,474.9
eu-south-2,30,0,60,7,0.0036,0.09,0.61,2.64
eu-south-2,30,10,1800,14,0.0036,0.09,0.61,2.64
eu-south-2,30,20,2250,17,0.0036,0.09,0.61,2.64
eu-south-2,30,120,6750,52,0.0319,0.76,5.35,23.27
eu-south-2,200,0,400,46,0.0241,0.58,4.05,17.6
eu-south-2,200,10,12000,93,0.0919,2.21,15.44,67.1
eu-south-2,200,20,15000,117,0.1145,2.75,19.24,83.6
